trading_pair,last_price,base_volume_24h,quote_volume_24h,price_change_pct_24h,trade_count_24h
USDCUSDT,1.0001,1505186531.0,1505575193.4788,0.0,268758
BTCUSDT,71812.54,20904.3884,1472699113.8397527,1.155,3977037
NIGHTUSDT,0.04397,23153052544.0,1092224192.14759,-8.434,2235061
ETHUSDT,2192.61,319068.614,686425551.880412,1.373,4142273
SOLUSDT,93.18,3409497.902,310068640.83406,1.658,996805
TAOUSDT,362.3,581636.4377,195000484.55841,17.098,748924
XRPUSDT,1.4282,113571484.1,160395722.70267,0.613,639117
USD1USDT,0.9997,111400378.0,111359412.5803,0.03,87315
PAXGUSDT,4581.16,24206.7094,108925940.615425,3.646,183995
SAHARAUSDT,0.0266,4257272388.0,108450774.13319,2.623,1466716
BNBUSDT,650.06,120490.82,77145889.24618,1.841,874572
DOGEUSDT,0.09721,796091438.0,75925906.98219,3.272,577555
ZECUSDT,238.53,286531.13,67728093.75293,3.754,289449
RLUSDUSDT,1.0001,63814839.0,63834241.153,-0.03,7539
FETUSDT,0.2616,145943740.5,35683229.13631,14.386,407452
PEPEUSDT,3.56e-06,9719174219270.0,34042462.2980045,4.094,77991
TRXUSDT,0.3103,105345032.6,32531677.89401,-0.097,77924
ADAUSDT,0.2746,118481497.3,31608862.7679,4.331,121725
LINKUSDT,9.46,3220094.66,29693389.0783,2.714,61735
ONTUSDT,0.06528,429747106.0,28065961.2819,-7.444,369694
